TIC,Sector,Plot 1,Plot 2,Teff,Tmag,log(g),CCD,Camera,Dwarfs,Giants,Closest
114985772,1,114985772.jpg,114985772_flares.jpg,3261.0,11.1087,4.94334,1,1,Number of objects classified as 'DWARF' within 0.200000 deg of 114985772: 859,Number of objects classified as 'GIANT' within 0.200000 deg of 114985772: 20,"Closest TIC ID to 114985772: TIC 114985772, seperation of 0.000012 arcsec. and a TESS mag. of 11.108700"
117545157,1,117545157.jpg,117545157_flares.jpg,3014.0,14.1348,4.90618,3,2,Number of objects classified as 'DWARF' within 0.200000 deg of 117545157: 403,Number of objects classified as 'GIANT' within 0.200000 deg of 117545157: 7,"Closest TIC ID to 117545157: TIC 117545157, seperation of 0.000012 arcsec. and a TESS mag. of 14.134800"
129646813,1,129646813.jpg,129646813_flares.jpg,nan,13.032,4.94,1,1,Number of objects classified as 'DWARF' within 0.200000 deg of 129646813: 642,Number of objects classified as 'GIANT' within 0.200000 deg of 129646813: 12,"Closest TIC ID to 129646813: TIC 129646813, seperation of 0.000000 arcsec. and a TESS mag. of 13.032000"
