TIC,Sector,Plot 1,Plot 2,Teff,Tmag,log(g),CCD,Camera
142082942,1,142082942.jpg,142082942_flares.jpg,3272.0,12.9487,4.9311,2,4
142107618,2,142107618.jpg,142107618_flares.jpg,nan,12.961,5.06043,2,4
145964181,2,145964181.jpg,145964181_flares.jpg,3265.0,12.3903,4.81833,4,1
149019616,2,149019616.jpg,149019616_flares.jpg,3649.0,11.8054,4.61872,2,1
149423103,1,149423103.jpg,149423103_flares.jpg,3148.0,11.878,5.0542,4,4
149838027,2,149838027.jpg,149838027_flares.jpg,3148.0,12.2778,4.84374,1,1
154616669,2,154616669.jpg,154616669_flares.jpg,3402.0,12.8402,4.76239,1,1
155776875,2,155776875.jpg,155776875_flares.jpg,2898.0,14.0815,5.14499,1,1
155895287,2,155895287.jpg,155895287_flares.jpg,3067.0,13.4963,4.99826,1,2
155896947,2,155896947.jpg,155896947_flares.jpg,3029.0,12.9188,5.10501,1,2
156084049,2,156084049.jpg,156084049_flares.jpg,3569.0,9.88834,4.57198,1,2
158595208,2,158595208.jpg,158595208_flares.jpg,4836.32,8.3634,4.48504,1,3
160074646,2,160074646.jpg,160074646_flares.jpg,3256.0,13.379,4.98926,4,2
166739932,2,166739932.jpg,166739932_flares.jpg,2887.0,14.6778,5.14867,1,3
166787846,2,166787846.jpg,166787846_flares.jpg,3105.0,12.4059,4.86226,1,3
167696018,1,167696018.jpg,167696018_flares.jpg,4640.0,10.7016,4.52996,3,4
177174910,2,177174910.jpg,177174910_flares.jpg,3540.0,12.4591,4.77073,3,4
183535753,2,183535753.jpg,183535753_flares.jpg,3165.0,13.9585,5.00194,3,2
188586529,2,188586529.jpg,188586529_flares.jpg,3124.0,12.9374,4.94745,4,1
197787320,2,197787320.jpg,197787320_flares.jpg,4090.0,10.7927,4.33909,4,3
197790801,2,197790801.jpg,197790801_flares.jpg,3311.0,12.4344,4.87675,4,3
197829751,2,197829751.jpg,197829751_flares.jpg,3260.0,11.5508,4.86982,4,3
197884260,2,197884260.jpg,197884260_flares.jpg,3248.0,12.8374,4.72695,4,3
197891904,2,197891904.jpg,197891904_flares.jpg,3496.0,12.9258,4.75015,4,3
198003939,2,198003939.jpg,198003939_flares.jpg,3384.0,11.7529,4.7029,4,3
198006712,2,198006712.jpg,198006712_flares.jpg,3527.0,12.712,4.6605,4,3
198034151,2,198034151.jpg,198034151_flares.jpg,3282.0,13.1395,4.85557,4,3
198073312,2,198073312.jpg,198073312_flares.jpg,3163.0,14.0962,4.94871,1,4
200668936,2,200668936.jpg,200668936_flares.jpg,3196.0,12.3161,4.77053,1,2
201792346,2,201792346.jpg,201792346_flares.jpg,2967.0,12.3329,5.14743,1,3
201795667,2,201795667.jpg,201795667_flares.jpg,3313.0,11.2926,4.73336,1,3
201883033,2,201883033.jpg,201883033_flares.jpg,nan,7.8924,nan,4,3
201897406,2,201897406.jpg,201897406_flares.jpg,nan,11.446,nan,4,3
201920975,2,201920975.jpg,201920975_flares.jpg,2968.0,14.0057,5.11363,4,3
206327047,1,206327047.jpg,206327047_flares.jpg,3458.0,12.675,4.8578,2,2
206623351,2,206623351.jpg,206623351_flares.jpg,2955.0,14.0634,5.02517,1,3
207138379,2,207138379.jpg,207138379_flares.jpg,3059.0,12.9548,4.9046,4,3
207172859,2,207172859.jpg,207172859_flares.jpg,3074.0,13.5423,5.01423,4,3
218963269,2,218963269.jpg,218963269_flares.jpg,3185.0,12.8486,4.98897,1,1
218973487,2,218973487.jpg,218973487_flares.jpg,3241.0,12.1991,4.90224,1,1
219993473,2,219993473.jpg,219993473_flares.jpg,3132.0,12.2209,4.82432,1,3
220391763,2,220391763.jpg,220391763_flares.jpg,3155.0,11.6309,4.97323,1,4
220436250,1,220436250.jpg,220436250_flares.jpg,3508.0,12.7553,4.62927,1,4
220473309,2,220473309.jpg,220473309_flares.jpg,3884.0,8.4597,4.281,1,4
224225152,2,224225152.jpg,224225152_flares.jpg,3350.0,10.4635,4.80698,4,2
229066844,2,229066844.jpg,229066844_flares.jpg,5593.0,7.8256,3.98124,1,1
229071346,2,229071346.jpg,229071346_flares.jpg,4910.0,10.97,4.58259,1,1
229096614,2,229096614.jpg,229096614_flares.jpg,nan,11.629,nan,2,2
229141941,2,229141941.jpg,229141941_flares.jpg,3278.0,12.2161,4.85235,1,3
229147927,2,229147927.jpg,229147927_flares.jpg,3623.0,10.6086,4.70202,1,3
230982053,2,230982053.jpg,230982053_flares.jpg,3174.0,12.1364,4.82282,1,3
231017428,2,231017428.jpg,231017428_flares.jpg,3530.0,9.60304,4.7476,1,3
231830359,1,231830359.jpg,231830359_flares.jpg,nan,10.821,4.82326,1,3
231831315,1,231831315.jpg,231831315_flares.jpg,3533.0,12.5666,4.79189,1,3
237883499,1,237883499.jpg,237883499_flares.jpg,3040.0,14.07,4.93541,1,3
237883772,1,237883772.jpg,237883772_flares.jpg,3142.0,13.0906,4.91466,1,3
246861224,2,246861224.jpg,246861224_flares.jpg,3160.0,12.487,4.80791,2,1
251845153,2,251845153.jpg,251845153_flares.jpg,3334.0,10.4417,4.68728,3,2
251846450,2,251846450.jpg,251846450_flares.jpg,3034.0,12.0114,4.85809,3,2
251879885,2,251879885.jpg,251879885_flares.jpg,3101.0,13.714,4.95632,3,2
259861569,1,259861569.jpg,259861569_flares.jpg,3194.0,12.9826,5.01807,4,3
260127241,1,260127241.jpg,260127241_flares.jpg,3069.0,12.8532,4.95015,4,4
270424046,2,270424046.jpg,270424046_flares.jpg,3263.0,12.5564,5.01665,2,1
272086159,2,272086159.jpg,272086159_flares.jpg,3262.0,13.4004,4.90195,3,4
2760232,2,2760232.jpg,2760232_flares.jpg,nan,11.126,5.02139,3,1
2761472,2,2761472.jpg,2761472_flares.jpg,3041.0,12.551,5.03644,3,1
279726713,2,279726713.jpg,279726713_flares.jpg,3301.0,12.3599,4.92148,4,3
281542064,2,281542064.jpg,281542064_flares.jpg,2815.0,14.7467,5.24035,1,2
281573523,2,281573523.jpg,281573523_flares.jpg,3103.0,11.6167,4.78069,1,2
