# tic_id,sector,outburst,flare,tpeak,tpeak_ll,tpeak_ul,ampl,ampl_ll,ampl_ul,fwhm,fwhm_ll,fwhm_ul,duration,duration_ll,duration_ul,bol_energy,bol_energy_ll,bol_energy_ul,M_CME,M_CME_ll,M_CME_ul,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm
114953216,1,1,1,2458345.2960066926,2.5016721338033676e-05,3.0283816158771515e-05,0.13968919579332767,0.01629286185517101,0.018896866976597898,0.0008027316878495292,0.00012970939192146998,0.0001553898741538948,0.011570115701157013,0.00938676053427201,0.014263475968093006,1.3876711294324203e+32,1.1304017948731947e+31,1.0614607227092643e+31,2.7848411216559034e+19,2.56740406532341e+19,4.2649194381857345e+20,11.67099953,3219.0,0.248,5.00746012,M0-M4.5,nan,nan,nan,-0.841221045399,26.0339611079,0.0,0.0,0.0
114953216,1,2,1,2458345.908363722,3.6777928471565247e-05,3.985455259680748e-05,0.14896468874088614,0.006179978959233778,0.006872535831199789,0.00251892588461092,0.0001955619972612943,0.0002055506145208848,0.03692370257035903,0.03368700353670204,0.04039373727070604,4.679335085381542e+32,2.1849831804035038e+31,2.195634382860409e+31,6.123014172674389e+19,5.796783906348158e+19,1.1408687235383875e+21,11.67099953,3219.0,0.248,5.00746012,M0-M4.5,nan,nan,nan,-0.841221045399,26.0339611079,0.0,0.0,0.0
114953216,1,3,1,2458350.1589776413,7.568951696157455e-05,7.476657629013062e-05,0.10371927183274757,0.006490433927876654,0.007576334767944365,0.001454832629026779,0.00016636022330527114,0.00016495565705691457,0.01935352686860202,0.016830168301683004,0.02197355306886402,1.7337589899890925e+32,1.3171609356666523e+31,1.2168579634616416e+31,2.414784978010282e+19,2.2370899644766466e+19,3.469657178595771e+20,11.67099953,3219.0,0.248,5.00746012,M0-M4.5,nan,nan,nan,-0.841221045399,26.0339611079,0.0,0.0,0.0
114985772,1,1,1,2458331.6642476385,4.828721284866333e-05,5.241483449935913e-05,0.07693448203208027,0.008509269584148646,0.01066088186670576,0.0015911085654250554,0.00030198189375197715,0.0003453733933867708,0.01939352726860602,0.01515015150151501,0.024540245402454017,2.5228331136171083e+32,2.4497902618926966e+31,2.8450132554293536e+31,2.8427962317068493e+19,2.6707899682828825e+19,5.984026560684327e+20,11.04100037,3345.0,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.5741650844,17.8573474674,0.0,0.0,0.0
114985772,1,2,1,2458335.3685570643,7.455609738826752e-05,8.7034422904253e-05,0.044591687765484694,0.0032532430134196155,0.003682781220130292,0.0024342843262300526,0.00032337456853966193,0.0003622666234054219,0.02474024740247402,0.02086354196875302,0.029246959136258036,1.9760571364607497e+32,1.9369624103353015e+31,1.6095778551269946e+31,3.6409327862355485e+19,3.481549850916434e+19,9.235259208175887e+20,11.04100037,3345.0,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.5741650844,17.8573474674,0.0,0.0,0.0
114985772,1,3,1,2458338.29563308,6.954418495297432e-05,6.608618423342705e-05,0.06188039579009979,0.004246906156188897,0.004820349124309446,0.0019141773519359155,0.00023714759165505833,0.0002454522213536385,0.021780217802178023,0.018640186401864017,0.025176918435851015,2.553512023616579e+32,1.599893642657517e+31,1.836436282416211e+31,3.779989615214031e+19,3.3973439714862576e+19,7.49133513654601e+20,11.04100037,3345.0,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.5741650844,17.8573474674,0.0,0.0,0.0
114985772,1,4,1,2458343.4618963627,9.62698832154274e-05,0.00010009016841650009,0.12840092808341297,0.0054346805014323235,0.0054520187921403285,0.005245751817990751,0.0003753580775659538,0.0003769671885221716,0.07397740644073107,0.06789734564012306,0.08017080170801708,1.4781918982372413e+33,1.7069247384210955e+32,1.5978877006715793e+32,1.2443955352270048e+20,1.2024881011935144e+20,9.113318515754286e+20,11.04100037,3345.0,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.5741650844,17.8573474674,0.0,0.0,0.0
114985772,1,4,2,2458343.439345611,0.007241583429276943,0.006966643035411835,0.007280089796340948,0.003882287321665015,0.006565048051120754,0.0653807621171487,0.03520670122449885,0.02295555475279161,0.2327923279232792,0.05209718763854304,0.3088030880308803,8.005621209149925e+32,5.754370711578923e+32,7.88897587327328e+32,7.198690610932765e+19,6.706585237970842e+19,1.2393877960632655e+21,11.04100037,3345.0,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.5741650844,17.8573474674,0.0,0.0,0.0
114985772,1,4,3,2458343.4676890243,0.00021918397396802902,0.00023403670638799667,0.10531836955272036,0.004931659278226488,0.004951237944433209,0.01415233209351529,0.0007437655959721644,0.0007528075072223191,0.1890885575522422,0.17674843415100816,0.20170868375350418,3.126160997436974e+33,2.7884286041777945e+32,2.3198658327232982e+32,1.4056075543074842e+20,1.2634043671132432e+20,1.7954695588283694e+21,11.04100037,3345.0,0.308,4.94132996,M0-M4.5,nan,nan,nan,-0.5741650844,17.8573474674,0.0,0.0,0.0
115015715,1,1,1,2458340.5842858553,3.6782585084438324e-05,3.803800791501999e-05,0.13389676196702807,0.0025018754020082745,0.0025623238241940516,0.0035552444073982167,0.0001242449194985163,0.0001279396338901115,0.05069384027173604,0.048680486804868056,0.052780527805278046,1.48388710837295e+34,4.735327579116884e+32,2.8622977143430236e+32,6.546290653808534e+20,6.24844535386036e+20,1.0509634020784585e+22,10.68900013,4107.0,0.66580302,4.59984016,FGK,nan,nan,nan,nan,nan,0.0,0.0,0.0
