# tic_id,sector,outburst,flare,tpeak,tpeak_ll,tpeak_ul,ampl,ampl_ll,ampl_ul,fwhm,fwhm_ll,fwhm_ul,duration,duration_ll,duration_ul,bol_energy,bol_energy_ll,bol_energy_ul,M_CME,M_CME_ll,M_CME_ul,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm
237880881,1,1,1,2458325.835,0.000158811,0.000136663,0.112526523,0.015701929,0.019845291,0.002494669,0.00064042,0.000801499,0.033947006,0.024186909,0.046860469,nan,nan,nan,nan,nan,nan,13.39999962,nan,nan,nan,FGK,nan,nan,nan,nan,nan,0,0,0
237885807,1,1,1,2458333.273,8.93E-05,9.27E-05,0.055001645,0.003057683,0.003169172,0.003001997,0.000302505,0.000340465,0.032846995,0.028966956,0.037270373,1.88E+32,1.25E+31,1.29E+31,2.1E+19,2.01E+19,2.78E+20,11.43200016,3203,nan,nan,M0-M4.5,0.914,nan,0.914,-0.751956173,23.59417405,0,0,0
237910557,1,1,1,2458341.223,8.05E-05,8.65E-05,0.193953075,0.010450102,0.011247911,0.002977072,0.000294948,0.000311005,0.046547132,0.041393747,0.052073854,2.72E+32,1.91E+31,1.55E+31,2.3E+19,2.24E+19,4.84E+20,12.82400036,3052,nan,nan,M4.5-M10,0.34,nan,0.34,-0.832849974,25.37011297,0,0,0
237934055,1,1,1,2458331.739,0.000199024,0.000196855,0.164767246,0.01101651,0.011902282,0.007709179,0.00120702,0.001272162,0.115901159,0.096080961,0.137354707,1.34E+33,1.49E+32,1.93E+32,5.75E+19,5.36E+19,4.97E+20,13.7159996,3150,nan,nan,M0-M4.5,nan,nan,nan,nan,nan,0,0,0
238176832,1,1,1,2458329.496,3.31E-05,2.91E-05,0.187917511,0.026165528,0.02786297,0.000641782,0.000112462,0.000147088,0.009956766,0.007920079,0.01263346,2E+32,1.13E+31,1.2E+31,3.91E+19,3.56E+19,4.46E+20,10.23700047,3297,0.28400001,4.96794987,M0-M4.5,0.528,nan,0.528,-1.091801674,34.19634673,0,0,0
238183068,1,1,1,2458339.988,5.16E-05,5.39E-05,0.11519607,0.004384815,0.004557549,0.002903687,0.000206604,0.000214673,0.039767064,0.036543699,0.043163765,3.53E+33,1.63E+32,1.62E+32,2.07E+20,2.02E+20,3.62E+21,10.77099991,3761,0.523,4.75269985,M0-M4.5,0.579,nan,0.579,nan,nan,0,0,0
238194430,1,1,1,2458330.805,2.26E-05,2.15E-05,0.405405092,0.012412346,0.013422012,0.00222063,0.000124711,0.000122724,0.040600406,0.038087048,0.043120431,8.42E+32,2.59E+31,3.29E+31,2.04E+20,1.99E+20,2.56E+21,12.4989996,3155,nan,nan,M0-M4.5,0.699,nan,0.699,-0.399517763,12.17290435,1,0,0
238194459,1,1,1,2458327.93,0.000183342,0.000173427,0.044736097,0.001937871,0.001967643,0.007616446,0.000604066,0.000670928,0.077507442,0.070207369,0.085660857,1.32E+34,9.35E+32,9.89E+32,4.63E+20,4.17E+20,2.34E+22,11.48499966,4335,nan,nan,FGK,nan,nan,nan,-1.033583953,34.28584226,0,0,1
238228648,1,1,1,2458331.3,0.000114881,0.00010407,0.10309859,0.006066952,0.00609359,0.005047034,0.000680237,0.000660893,0.06703067,0.057003903,0.077034104,1.16E+34,1.89E+33,1.61E+33,4.52E+20,4.24E+20,5.64E+21,10.88099957,3974,0.63671702,4.62274981,FGK,nan,nan,nan,-1.640028686,54.50577239,0,0,0
238813187,1,1,1,2458325.445,6.75E-05,6.64E-05,0.085392327,0.016971611,0.022607788,0.001005151,0.000276869,0.000380339,0.012640126,0.008556752,0.018636853,2.1E+31,2.9E+30,2.54E+30,7.04E+18,6.67E+18,9.82E+19,12.15400028,2954,nan,nan,M4.5-M10,0.176,nan,0.176,-0.318768097,8.990732716,1,0,0
238817606,1,1,1,2458336.208,0.00096033,0.000973567,0.101820502,0.019273088,0.021706477,0.0105888,0.002186259,0.00273179,0.140138068,0.10462438,0.185928526,3.16E+32,8.64E+31,6.96E+31,4.47E+19,4.15E+19,3.72E+20,14.11999989,2992,0.163,5.12126017,M4.5-M10,nan,nan,nan,nan,nan,0,0,0
25118964,1,1,1,2458330.489,6.34E-05,5.66E-05,0.084163449,0.009144653,0.012122824,0.001597268,0.000291937,0.000321823,0.0200002,0.015786825,0.024993583,2.77E+32,2.46E+31,2.92E+31,4.16E+19,3.97E+19,2.6E+20,11.99400043,3327,nan,nan,M0-M4.5,nan,nan,nan,-0.455704901,14.11000474,1,0,0
25132999,1,1,1,2458340.96,6.35E-05,6.55E-05,0.118252536,0.002379873,0.002371592,0.006673064,0.000267715,0.000275325,0.092047587,0.087867545,0.096364297,2.05E+34,6.72E+32,7.17E+32,4.4E+20,4.06E+20,9.26E+21,10.77299976,4014,0.64610398,4.61523008,FGK,nan,nan,nan,-0.422788798,13.15194502,0,0,0
25153167,1,1,1,2458352.38,8.59E-05,8.63E-05,0.247271746,0.013575183,0.013940559,0.002667741,0.00025457,0.000288379,0.044037107,0.03934706,0.049383827,2.05E+32,1.59E+31,1.23E+31,4.5E+19,4.17E+19,3.91E+20,13.54899979,3000,nan,nan,M4.5-M10,0.373,nan,0.373,nan,nan,0,0,0
25200252,1,1,1,2458332.212,2.23E-05,2.44E-05,1.260077471,0.057608551,0.076452727,0.000986264,0.000100222,9.28E-05,0.022050221,0.019660197,0.024350244,1.75E+33,7.38E+31,1.12E+32,2.4E+20,2.31E+20,5.52E+21,10.88000011,3268,0.271,4.98073006,M0-M4.5,nan,nan,nan,-0.535159501,16.62955861,0,0,0
25243422,1,1,1,2458337.896,6.69E-05,5.81E-05,0.107749252,0.024136602,0.033357273,0.000960542,0.000296606,0.000426965,0.012913462,0.008293416,0.020056867,1.06E+32,1.35E+31,9.15E+30,1.73E+19,1.62E+19,2.01E+20,11.85000038,3190,0.235,5.02467012,M0-M4.5,0.958,nan,0.958,nan,nan,0,0,0
